role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Designer,33000,yr,2006,56500,yr,P,2019,35,,white,BA
other,16000,yr,2018,24000,yr,C,2019,3,female,white,MA
Manager,60000,yr,2016,66250,yr,P,2019,12,female,white,MA
Director,45000,yr,2013,47000,yr,,2019,13,female,latino,PhD
Education,15.25,hr,,,,H,2019,,,,BA
Registrar,15.25,hr,,,,H,2019,,,,BA
Archivist,59999,yr,2016,61000,yr,P,2019,3,female,latino,MLIS
Assistant Curator,63000,yr,2018,63000,yr,,2019,13,,,PhD
Curator,47500,yr,2019,,,,2019,5,female,mixed,PhD
Technical,35000,yr,2019,35000,yr,P,2019,3,female,white,BA
Photographer,15,hr,2018,18,hr,H,2019,17,female,white,BA
Director,125000,yr,2018,125000,yr,P,2019,15,male,white,
Assistant,14,hr,2018,14.43,hr,HP,2019,7,,,
Assistant Curator,55000,yr,,60000,yr,,2019,,female,,
Coordinator,31000,yr,2017,32000,yr,P,2019,6,female,white,BA
Curator,55000,yr,2010,66000,yr,P,2019,19,male,white,MA
Technical,11000,yr,2013,11000,yr,C,2018,15,,,
Manager,30000,yr,2012,41000,yr,P,2018,6,female,white,BA
Curator,28500,yr,2010,39700,yr,P,2017,12,male,white,MA
Coordinator,7.25,hr,2016,8,hr,H,2019,0,female,white,MA
Manager,38000,yr,,38000,yr,P,2015,,,,
Assistant Curator,36500,yr,2013,37500,yr,P,2015,6,female,white,BA required MA preferred
Manager,20.6,hr,2016,21.93,hr,H,2019,10,female,white,MA
Gallery Assistant,42000,yr,2019,42000,yr,P,2019,5,female,white,BA
Intern,15,hr,2018,15,hr,H,2019,3,female,white,
Assistant Director,41500,yr,2013,52364,yr,P,2019,17,male,mixed,MA
Assistant,48000,yr,2016,51000,yr,P,2019,2,female,white,BA
Archivist,15,hr,2019,15,hr,H Full Time,2019,2,female,white,BA required MA preferred
Editor,43500,yr,2018,,,P,,,,,
Curator,26289,yr,2013,61540,yr,P,2019,10,female,white,MA
Director,55000,yr,2014,60565,yr,P,2019,30,,,MA
Assistant Curator,50000,yr,2013,,,,2015,5,female,white,MA
Director,90000,yr,2018,90000,yr,P,2019,20,female,white,MA
Coordinator,49000,yr,2014,58500,yr,P,2019,15,female,white,BA
Curator,63500,yr,2019,63500,yr,P,2019,8,male,white,PhD
Curator,52000,yr,2018,,,P,2019,,,,PhD
Assistant,47000,yr,2017,51000,yr,H,2019,5,female,white,BA
Registrar,37000,yr,2017,39000,yr,H,2019,15,,,
Manager,58000,yr,2017,60000,yr,P,2019,6,female,white,BA required MA preferred
Assistant Director,52000,yr,2017,54000,yr,H,2019,6,,,MA
Assistant Curator,22,hr,,22,hr,H Full Time,2019,,female,white,
Communications,32000,yr,2012,38000,yr,H,2019,6,male,white,BA required MA preferred
Assistant Curator,27500,yr,2016,37500,yr,,2019,7,female,,
Coordinator,47840,yr,2016,48880,yr,H Full Time,2019,8,female,,No degree
Coordinator,40000,yr,2016,42000,yr,P,2019,20,female,white,BA
Coordinator,12,hr,2017,12.75,hr,HC,2019,2,female,white,
Conservator,80000,yr,2014,81000,yr,P,2019,15,female,,MA
Security,32000,yr,2017,32000,yr,C,2019,5,female,white,BA
Assistant Curator,32000,yr,2014,48000,yr,P,2010,10,female,,BA required MA preferred
Communications,40000,yr,2011,47000,yr,P,2019,16,female,white,BA required MA preferred
Academic,55000,yr,2018,55000,yr,C,2019,,female,,PhD
Technical,85000,yr,2017,89000,yr,P,2019,7,female,asian,BA
Educator,48050,yr,2015,52100,yr,P,2019,7,male,white,MA
Archivist,35000,yr,2018,35000,yr,C,2019,2,,,MA
Registrar,40900,yr,2015,43928,yr,H Full Time,2019,26,,,MA
Registrar,42600,yr,2017,43878,yr,P,2019,11,female,white,
Coordinator,31600,yr,2017,32223,yr,,2019,3,female,latino,BA
Registrar,38000,yr,2018,38000,yr,HP,2019,7,,,
Registrar,18000,yr,1990,73400,yr,P,2019,,,,
Assistant Curator,8.5,hr,2012,8.5,hr,H,2016,4,female,white,BA
Director,52000,yr,2015,58500,yr,P,2019,20,,,MA required PhD preferred
Manager,23337,yr,2010,36961,yr,P,2019,11,female,white,BA required MA preferred
Director,72000,yr,2016,75000,yr,P,2019,5,female,white,MA required PhD preferred
Director,28500,yr,2017,28500,yr,C,2019,6,female,white,MA
Director,60000,yr,2018,61200,yr,P,2019,6,female,asian,MA
Communications,25,hr,2018,26,hr,C,2019,3,female,white,BA
Assistant Curator,38000,yr,2007,61000,yr,P,2019,14,female,white,BA required MA preferred
Curator,36000,yr,2009,49000,yr,P,2019,18,female,white,MA
Curator,60000,yr,2013,70000,yr,P,2019,2,female,white,PhD
Manager,39300,yr,2015,46121,yr,P,2019,6,female,white,BA
Curator,47000,yr,2016,53000,yr,P,2019,6,,,MA
Assistant Curator,77000,yr,,77000,yr,P,2017,,female,,
Sales,28000,yr,,58500,yr,P,2019,13,female,white,
Coordinator,42000,yr,2019,42000,yr,P,,3,female,white,BA
other,33000,yr,2016,41000,yr,P,2019,4,female,white,BA required MA preferred
other,33000,yr,,41000,yr,P,2019,4,female,white,BA required MA preferred
Curator,40000,yr,,40000,yr,C,2019,,male,,
Assistant Curator,36000,yr,,68000,yr,P,2019,,female,white,MA
Photographer,73000,yr,2018,73000,yr,H,2019,5,male,,BA
Director,90000,yr,2018,90000,yr,P,2019,10,female,latino,
Conservator,45000,yr,2019,,,P,2019,4,female,,MA
Curator,26000,yr,2013,52000,yr,P,2019,8,male,white,MA
other,,,2017,38730,yr,H Full Time,2019,6,female,white,BA
Director,40000,yr,2018,40000,yr,P,2019,5,,,MA
Director,40000,yr,2018,40000,yr,P,2019,5,,,MA
Coordinator,30000,yr,2018,30000,yr,H,2019,9,female,white,MA
Coordinator,20,hr,2012,23.68,hr,HP,,8,female,,BA required MA preferred
Registrar,52000,yr,2018,58000,yr,,2019,11,,,
Archivist,30000,yr,2013,39000,yr,P,2019,6,female,white,MLIS
Archivist,30000,yr,2013,39000,yr,P,2019,6,female,white,MLIS
Manager,24.5,hr,2018,24.5,hr,P,2019,5,,,BA required MA preferred
Visitor Experience,20,hr,2015,20.66,hr,HP,2019,10,female,white,BA
Curator,31000,yr,2018,37000,yr,H,2019,2,female,white,BA required MA preferred
Registrar,,,,,,H,2019,3,other,white,BA
Coordinator,38000,yr,2017,38000,yr,P,2019,2,female,white,BA
Manager,30,hr,2017,30,hr,H Part Time,2019,2,female,white,BA
Director,53000,yr,2017,70000,yr,,2019,10,,,
Director,30000,yr,2015,41000,yr,C,2018,5,other,white,
Director,50000,yr,2016,55500,yr,P,2019,5,male,white,BA required MA preferred
Coordinator,15.25,hr,2018,15.7,hr,H,2019,7,female,white,BA required MA preferred
Manager,65000,yr,2014,81582,yr,P,2019,15,female,,MA
Manager,48000,yr,2016,52000,yr,P,2019,6,female,white,BA
Manager,40000,yr,2016,47500,yr,P,2019,5,female,white,MA
Registrar,75000,yr,2018,75000,yr,P,2019,22,female,,MA
Communications,43500,yr,2017,45000,yr,P Full Time,2019,8,female,white,
Manager,15,hr,2015,24,hr,H,2019,4,other,white,BA
Curator,49920,yr,2019,49920,yr,C,2019,4,female,latino,MA
Manager,40014,yr,2017,41215,yr,C,2019,5,female,white,MA
Assistant Curator,45000,yr,2018,45000,yr,C,2019,3,female,white,MA
Director,110000,yr,2018,110000,yr,,2019,5,,,
Curator,75000,yr,2017,79000,yr,P,2019,10,,,
Director,36000,yr,2015,48000,yr,C,2019,5,female,white,BA
Director,35000,yr,2015,52000,yr,P,2019,6,female,white,BA
Assistant,43000,yr,2017,44500,yr,H,2019,3,female,white,BA required MA preferred
Assistant Registrar,32000,yr,2015,32000,yr,HP,2019,8,female,poc,MA
Technical,65000,yr,2011,76000,yr,P,2019,20,male,white,BA
Curator,,,,89478,yr,P,2019,30,male,white,
Curator,63752,yr,2018,63752,yr,P,2019,6,female,white,MA
Manager,22000,yr,2017,26000,yr,H,2019,3,female,white,
Sales,48000,yr,2018,48000,yr,P,2019,2,female,latino,BA
Registrar,28470,yr,2018,28470,yr,H,2019,2,female,white,BA
Manager,16,hr,2013,16,hr,H,2015,5,female,,BA
Coordinator,50000,yr,2017,52000,yr,P,2019,,male,white,
Coordinator,50000,yr,2017,59670,yr,P,2019,6,female,white,
Designer,50000,yr,2017,59670,yr,P,2019,5,female,white,
Assistant Director,70000,yr,2019,70000,yr,P,2019,8,female,mixed,
Manager,68000,yr,2017,70000,yr,,2019,3,,,BA
Coordinator,43000,yr,2012,43000,yr,C,2015,,,,
Manager,60000,yr,2014,60000,yr,,2015,,,,
Coordinator,43000,yr,,52000,yr,P,2019,,female,white,
Coordinator,58500,yr,2018,58500,yr,P,2019,3,,,MA
Director,50000,yr,,60000,yr,P,2017,30,male,white,PhD
Director,50000,yr,,60000,yr,P,2017,30,male,white,PhD
Teacher,50,hr,2015,50,hr,H,,6,female,white,MA
Director,20000,yr,2014,20000,yr,P,2018,,female,,
Visitor Experience,14.5,hr,,12.5,hr,H,2019,5,female,white,HS
Education,30000,yr,2017,32000,yr,P,2019,6,female,white,BA
Assistant Manager,29120,yr,2018,29120,yr,H,2019,5,female,white,
Registrar,55000,yr,2014,60000,yr,P,2019,15,male,white,BA
Registrar,13,hr,2017,14,hr,H,2019,5,female,white,BA
Registrar,12,hr,2017,12,hr,HC,2019,4,,,No degree
Relations,32000,yr,,32000,yr,P,2013,5,female,white,MA
Educator,45000,yr,2017,45650,yr,P,2019,6,female,white,BA required MA preferred
Education,41000,yr,2015,41000,yr,P,2017,4,female,asian,MA
Curator,45000,yr,2015,45000,yr,P,2016,10,female,white,
Manager,38000,yr,,,,,2019,,,,
Assistant,40000,yr,2015,40000,yr,P,2016,8,,,
Designer,71000,yr,2019,71000,yr,,2019,10,male,asian,BA
Registrar,60000,yr,2016,66950,yr,P,2019,,,,
Manager,41000,yr,2013,65000,yr,,,10,,,BA
Curator,45000,yr,,45000,yr,C,,,,,
Assistant,34000,yr,,41000,yr,P,2019,5,female,,
Education,110,hr,2017,110,hr,H,2019,9,female,white,None required MA preferred
Communications,20,hr,2014,25,hr,H,2016,,female,,
Manager,60000,yr,,61500,yr,P,2019,,female,white,
Manager,36000,yr,,61500,yr,P,2019,,male,,
Designer,45000,yr,,56000,yr,C,,,female,,BA
Assistant Curator,54000,yr,,55525,yr,P,2014,5,female,white,MA
Research,44000,yr,2014,49000,yr,P,2016,,female,white,
Coordinator,42000,yr,2012,44000,yr,P,2014,,female,white,
other,38000,yr,2017,39000,yr,P,2019,,male,white,
Assistant,36000,yr,2014,39000,yr,P,2017,,female,,
Coordinator,50000,yr,2010,64000,yr,P,2019,10,male,white,BA
Artist,33000,yr,1987,50000,yr,P,1996,9,male,white,BA
Manager,60000,yr,1997,75000,yr,P,2000,13,male,white,BA
Assistant Curator,15,hr,2018,15,hr,H,2019,3,female,,
Director,150000,yr,2014,150000,yr,P,2016,10,,,MA
Relations,52000,yr,2017,57000,yr,P,2019,3,female,white,BA
Assistant Curator,50000,yr,,50000,yr,P,2019,,female,asian,
Assistant Curator,48000,yr,2015,62500,yr,P,2019,8,female,white,MA
Assistant Curator,48000,yr,2015,62500,yr,P,2019,8,female,white,MA
Curator,40000,yr,2009,45000,yr,P,2012,,female,white,MA required PhD preferred
Education,0,yr,2012,400,yr,C,2019,10,female,white,BA
Manager,55000,yr,,80000,yr,P,2019,,male,,
Education,8.5,hr,2019,8.5,hr,H,2019,,female,,MA
Visitor Experience,7.25,hr,2016,8.5,hr,H,2017,2,female,white,BA
Relations,15,hr,2017,15.37,hr,HP,2019,,,latino,BA
Assistant,14,hr,2017,,,HC,2017,,,,
Registrar,32000,yr,,30000,yr,H,2018,,female,,
Archivist,40000,yr,2016,41206,yr,P,2019,4,female,white,MA
Assistant Curator,40000,yr,2001,65500,yr,P,2019,34,female,white,MA required PhD preferred
Intern,0,yr,2014,0,yr,H,2014,1,female,white,
Relations,31000,yr,2002,45100,yr,P,2012,17,female,white,BA
Art Handler,23,hr,2019,23,hr,H,2019,1,male,white,MA
Assistant,43000,yr,2019,43000,yr,H,,0,male,latino,BA
Manager,34000,yr,2013,90000,yr,P,2019,,female,,
Director,48000,yr,2018,48000,yr,P,2019,,female,white,
Manager,42000,yr,,42000,yr,P,2017,,female,latino,
Assistant,40000,yr,2015,40000,yr,P,2017,,female,latino,
Manager,30000,yr,2018,30000,yr,P,2019,,female,white,
Assistant Curator,65000,yr,,80000,yr,P,2019,,female,white,
Assistant Director,63000,yr,,63000,yr,P,2019,,female,white,
Manager,45000,yr,,51700,yr,P,2018,,female,white,
Assistant Curator,36000,yr,,40000,yr,H,2017,,,,
Assistant Curator,35000,yr,,40000,yr,H,2019,,,,
Art Handler,37000,yr,,37000,yr,HP,2019,,male,white,
Coordinator,33681,yr,,36100,yr,P,2014,,female,white,
Assistant,34580,yr,,34580,yr,C,2016,,female,white,
Assistant,31000,yr,2014,34000,yr,HP,2017,,female,,
Assistant,33670,yr,,33670,yr,C,2019,,female,white,
Coordinator,29000,yr,,29000,yr,P,2013,,female,,
Librarian,22750,yr,2015,27000,yr,HP,2019,7,female,white,
other,,,,18,hr,H,2019,3,female,,
Designer,34500,yr,2010,50870,yr,P,2019,9,female,,BA
Registrar,14,hr,2019,14,hr,HC,2019,1,other,white,
Coordinator,17.6,hr,2015,18.18,hr,H,2019,4,female,white,BA
Assistant Director,47000,yr,2015,48000,yr,P,2019,8,,,
Librarian,9,hr,1990,20,hr,HP,2019,29,female,white,No degree
other,,,2019,,yr,P,2019,20,,,
Conservator,47500,yr,2017,48687,yr,C,2019,5,,,MA
Assistant Curator,40000,yr,,60000,yr,P,2019,10,,,MA
Assistant Director,51000,yr,2018,51000,yr,P,2019,,female,white,
Assistant,40000,yr,2018,40000,yr,C,,7,female,,MA
Assistant,40000,yr,2018,40000,yr,P,2019,,female,white,MA
Technical,36000,yr,2018,36000,yr,P,2019,6,male,latino,BA
Technical,17.54,hr,2018,17.54,hr,H,2019,2,other,white,BA
Librarian,,,1979,,,P,1983,4,female,,BA
Coordinator,20,hr,2014,22,hr,H,2019,6,,,BA
Communications,16,hr,2018,16,hr,H Full Time,2019,,,,
Manager,42700,yr,,42700,yr,P,2019,,female,,
Technical,,,,,,,,,,,
Assistant,,,,,,H,,5,female,latino,
Editor,35000,yr,2018,35000,yr,P,2019,3,female,white,BA
Art Handler,36000,yr,,42000,yr,H,2019,4,male,white,No degree
Manager,42000,yr,2017,48000,yr,HP,2019,4,female,white,No degree
Editorial,70000,yr,,,,P,,9,female,white,
Communications,35,hr,2015,35,hr,H,2016,,,,
Editorial,38000,yr,2014,44000,yr,P,2018,4,female,,None required MA preferred
Writer,6,hr,2013,6,hr,Freelance,2019,10,female,white,MA
other,10000,yr,2007,1000000,yr,P,2019,10,other,white,No degree
Assistant,28,hr,2018,28,hr,H,2019,3,female,,
Assistant,18,hr,2006,50,hr,HP,2019,12,female,mixed,No degree
Manager,45000,yr,2016,60000,yr,P,2019,5,female,white,
Archivist,65000,yr,2017,65000,yr,P,2018,5,female,white,MLIS
Manager,50000,yr,2018,50000,yr,P,2019,10,female,white,MA
Assistant,20,hr,2017,20,hr,H,2017,8,female,white,
Assistant,16.33,hr,2016,16.33,hr,H,2017,1,,,BA
Artist,,,,0,yr,P,,15,female,white,
Assistant,20,hr,2014,18,hr,H,2019,14,female,white,MA
Assistant,20,hr,,35,hr,HP,2019,,female,asian,
Archivist,30,hr,,35,hr,H,2018,,,,
Admin,60000,yr,,63600,yr,P,2019,,female,mixed,
Editor,5000,yr,,5000,yr,C,2010,,,,
Manager,12,hr,,30,hr,H,2018,7,female,white,
other,40000,yr,2019,40000,yr,H,2019,2,female,latino,MA
Manager,28000,yr,2016,30000,yr,H,2019,5,male,white,BA
Manager,36000,yr,2018,40000,yr,H,,4,female,,
Director,38000,yr,,42500,yr,P,2019,10,male,white,BA
Visitor Experience,48000,yr,2016,58000,yr,P,2019,4,female,white,BA
other,,,,39520,yr,HP,2019,,,,No degree
Assistant Curator,10,hr,2012,10,hr,HC,,,,,
Assistant,34500,yr,2014,36000,yr,H,2014,1,,,BA
other,57000,yr,2015,63000,yr,P,2017,10,,,
Art Handler,15,hr,2017,20,hr,H,2019,10,female,latino,BA
Coordinator,32000,yr,,32000,yr,P,2019,,,,
Art Handler,15,hr,2017,19,hr,H,2019,3,,,BA
Relations,12,hr,,12,hr,H,2019,1,female,white,MA
Research,50000,yr,2019,60000,yr,P,2019,2,female,white,
Assistant,18000,yr,,,,C,2019,5,male,,BA required MA preferred
Assistant Curator,18,hr,2019,18,hr,HC,2019,7,female,white,BA
Assistant Curator,40000,yr,,,,,,,,,BA
Conservator,33000,yr,2012,37000,yr,P,2019,7,male,white,
Relations,45000,yr,2016,,,P,2017,3,female,white,
Technical,45000,yr,2011,46500,yr,P,2017,15,,,
Assistant Curator,,,,44000,yr,C,2017,20,female,white,MA
Security,11.68,yr,2007,14.33,hr,HP,2019,14,,,
Assistant,10,hr,2017,10,hr,H,2017,,female,white,
Coordinator,42640,yr,2019,42640,yr,H,2019,3,female,poc,BA required MA preferred
Visitor Experience,10,hr,2017,10,hr,,2019,2,male,white,BA
Coordinator,45000,yr,2018,45000,yr,P,2019,3,female,white,BA required MA preferred
Manager,47000,yr,2017,48500,yr,P,2019,8,female,white,BA required MA preferred
other,71000,yr,2019,,,P,2019,2,female,,MLIS
Manager,27.7,hr,2019,28.8,hr,HP,2019,5,female,white,BA
Sales,65000,yr,2018,65000,yr,P,2019,6,,,BA
Manager,15,hr,2016,15,hr,H,2019,4,,,MA
Director,52500,yr,2017,61050,yr,P,2019,3,male,white,MA
Visitor Experience,25000,yr,2015,32960,yr,P,2019,20,male,white,BA
Coordinator,15.3,hr,2015,15.3,hr,H,2018,3,,,
Assistant,18.25,hr,2017,18.25,hr,H,2019,,,,
Education,35000,yr,2017,35700,yr,P,2019,3,female,white,PhD
Curator,28000,yr,2018,28000,yr,P,2019,1,female,white,No degree
Editor,35000,yr,2010,41500,yr,P,2013,3,female,white,BA
Editorial,39885,yr,2016,40000,yr,H,2019,4,,,
Manager,50000,yr,2018,50000,yr,P,2019,4,female,white,MA
Designer,41100,yr,2016,51600,yr,P,2019,,male,white,BA
Curator,,,,82737,yr,,2019,22,,,PhD
Conservator,,,,72000,yr,P,2019,20,female,white,MA
Photographer,28500,yr,1999,49500,yr,C,2019,36,male,white,
Photographer,28500,yr,1999,49500,yr,C,2019,36,male,white,
Curator,83500,yr,,83500,yr,P,2019,,female,,
Curator,65000,yr,,83000,yr,,2018,,female,,
Curator,46000,yr,,52000,yr,H,2019,10,female,white,
Assistant Curator,49000,yr,,50000,yr,C,2019,,female,white,
Coordinator,37000,yr,,39100,yr,P,2019,5,female,white,BA required MA preferred
Manager,38000,yr,,41000,yr,P,2013,12,female,white,BA
Education,18.15,hr,2019,,,H,,,,,
Assistant Curator,44000,yr,2016,47614,yr,,2019,3,female,white,BA
Curator,29000,yr,2014,50000,yr,,2017,10,female,white,MA
Teacher,13,hr,2018,13,hr,H,2019,2,female,latino,BA
Visitor Experience,10,hr,,,,H,,1,female,white,HS
Visitor Experience,10,hr,2019,10,hr,H,2019,4,female,white,BA
Assistant Curator,33000,yr,,50000,yr,P,2019,,female,,
Assistant,48000,yr,,50000,yr,P,2018,,female,latino,
Assistant,15,hr,2014,15,hr,H,2015,2,female,,BA
Education,20000,yr,2019,20000,yr,H,2019,7,female,white,MA
Manager,42000,yr,2017,42000,yr,,2019,4,female,white,MA
Education,,,,50,hr,H,2019,,male,latino,
Art Handler,25,hr,,25,hr,,,,,,
Art Handler,16.94,hr,,20.33,hr,HP,2019,5,female,poc,HS
Assistant Curator,17,hr,2001,18,hr,H,2011,,female,white,MA
Manager,50000,yr,2017,52000,yr,P,2019,,female,white,
Coordinator,48000,yr,2015,52000,yr,,2018,,female,white,
Assistant Curator,47800,yr,,52000,yr,HP,2019,,female,white,
Assistant Curator,,,2008,52000,yr,P,2019,,,,
Assistant Curator,45000,yr,2017,50000,yr,P,2019,,female,poc,
Coordinator,44153,yr,,46054,yr,HP,2019,6,female,white,MA
Assistant Curator,33000,yr,2012,45000,yr,P,2019,,female,white,
Assistant Curator,44000,yr,,44000,yr,P,2017,,female,,
Assistant Curator,42000,yr,2015,44000,yr,P,2018,,male,,
Assistant Manager,36000,yr,2017,40000,yr,P,2019,,female,white,
Assistant,35000,yr,,40000,yr,P,2019,,female,,
Assistant Curator,36000,yr,2014,38000,yr,P,2019,,female,white,
Assistant,33000,yr,2010,33000,yr,P,2012,,female,white,
Intern,0,yr,,0,yr,,,,,,
Assistant Curator,40000,yr,2019,40000,yr,P,2019,,male,,
other,22000,yr,2018,22000,yr,C,2019,2,male,white,BA
Designer,40000,yr,2019,40000,yr,,2019,2,female,poc,
Designer,50000,yr,2018,50000,yr,P,2019,4,female,poc,
Assistant Curator,42000,yr,2011,45000,yr,P,2016,6,female,white,MA
Assistant,30780,yr,2013,35000,yr,P,2018,7,female,white,BA required MA preferred
Manager,34000,yr,2015,47247,yr,H Full Time,2019,4,male,white,
Manager,51000,yr,2018,51000,yr,,2019,2,female,,BA required MA preferred
Assistant Curator,35000,yr,2017,43000,yr,P,2019,4,female,white,BA
Archivist,24,hr,2016,51.5,hr,HP,2019,10,female,white,MA
Archivist,43000,yr,2015,43000,yr,P,2018,10,female,white,MA
Archivist,47000,yr,2018,47000,yr,P,2018,10,female,,MA
Archivist,18,hr,2015,18,hr,H,2015,7,female,,MLIS
Assistant Curator,33671,yr,,40000,yr,,2019,6,,,BA required MA preferred
Coordinator,10,hr,2015,30,hr,,2019,1,,,
Manager,58000,yr,2017,61200,yr,P,2019,15,female,mixed,MA
Designer,53000,yr,2019,,,P,2019,4,female,white,
Intern,0,yr,2013,0,yr,,2013,2,female,white,BA
Curator,32000,yr,2015,55000,yr,,2019,5,,,MA
Assistant Registrar,17.79,hr,,18.63,hr,HP,2019,2,female,white,BA required MA preferred
Coordinator,11.8,hr,2018,,,HC,2018,2,male,white,
Manager,50000,yr,2019,,,H Full Time,,10,male,asian,BA required MA preferred
Coordinator,34000,yr,2016,40200,yr,H,2019,8,female,white,BA
Assistant,,,,,yr,H,,5,other,latino,No degree
Curator,45000,yr,2013,60000,yr,P,2019,11,male,white,BA
Director,105000,yr,2018,105000,yr,P,2019,16,female,white,
Manager,25,hr,2015,33.38,hr,H,2019,6,male,white,MA
Coordinator,40560,yr,2018,40560,yr,H,2019,4,male,white,MA
Director,60000,yr,2016,30000,yr,H,2019,15,female,white,MA
Assistant Curator,14.54,hr,,,,H,2019,2,female,white,BA
Manager,29000,yr,2013,29000,yr,,2019,5,female,white,BA
Curator,40000,yr,,42000,yr,P Full Time,2014,5,female,white,BA
Curator,65000,yr,2017,68000,yr,C,2018,13,female,white,PhD
Gallery Assistant,8,hr,,8,hr,HP,2015,,female,,
Education,15,hr,,15,hr,HP,2015,,female,,
Assistant Curator,27500,yr,,,,P,2017,,,,
Assistant Curator,42500,yr,2015,47000,yr,C,,,,,
Curator,70000,yr,,73000,yr,P,2019,,female,,
Assistant Curator,29500,yr,2017,30000,yr,H,2017,,,,MA
Assistant Curator,28500,yr,2015,15.71,hr,HP,2019,,female,white,MA
Assistant,,,,30500,yr,,2019,2,male,white,MA
Visitor Experience,10,hr,2017,10,hr,HP,2017,2,female,white,BA
Assistant,17000,hr,2010,2011,yr,H,2011,2,female,white,
Assistant Director,40000,yr,2017,42000,yr,P,2019,4,male,white,MA
Archivist,56000,yr,2018,56000,yr,P,2019,6,female,white,MA
Assistant,20.25,hr,2018,22.5,hr,H,2019,1,male,white,MA
Librarian,48000,yr,2010,64000,yr,P,2019,10,female,white,MLIS
Registrar,34000,yr,2017,34000,yr,P,2019,10,,white,BA
other,15,hr,2018,18,hr,HP,2019,4,female,white,BA
Communications,90000,yr,2018,90000,yr,P,2018,15,female,poc,MA
Registrar,38000,yr,2014,38000,yr,,2016,3,female,white,MA
Manager,62500,yr,2018,62500,yr,P,2019,4,male,white,BA
other,40000,yr,2017,45000,yr,P,,4,male,white,BA
Librarian,52000,yr,2015,59580,yr,P,2019,9,female,white,MA
Communications,45000,yr,,45000,yr,P,2019,,female,,
Director,75000,yr,2018,78000,yr,P,2019,10,female,white,MA
Technical,31000,yr,,44000,yr,P,2019,,female,,
Manager,,,,37000,yr,HP,2019,,female,white,
Coordinator,39000,yr,2019,39000,yr,P,2019,3,female,white,BA
Coordinator,34000,yr,,,,P,2019,,female,,
Manager,55000,yr,,57000,yr,P,2019,10,female,white,
Director,,,,85000,yr,P,2016,15,,,MA
Coordinator,34000,yr,2018,,,P,2019,5,female,white,BA
Director,50000,yr,2010,53000,yr,P,2012,12,female,white,MA
Director,35000,yr,,65000,yr,P,2019,,female,white,
Technical,31000,yr,2014,44000,yr,P,2019,10,female,white,BA required MA preferred
Director,52000,yr,2015,,,P,2015,5,female,,
Technical,13 hr,yr,2012,13,hr,H,2014,3,female,white,HS
Education,7.25,hr,2012,,,H,2013,4,female,white,BA
Intern,9,hr,2016,9,hr,HC,2016,,female,white,BA
Research,19,hr,,,yr,H,2019,,female,,
other,32000,yr,2017,40000,yr,P,2019,8,,,BA required MA preferred
Coordinator,19,hr,2019,19,hr,HC,2019,1,male,white,BA
Communications,37000,yr,2017,37000,yr,P,2019,2,male,white,
Manager,81000,yr,2018,84000,yr,P,2019,19,female,white,BA required MA preferred
Education,35000,yr,,38000,yr,P,2017,,female,,
Security,,,,10,hr,HP,2019,5,male,white,No degree
Assistant,22,hr,2014,,,HC,2014,1,,,MA
Assistant Educator,42900,yr,2008,51000,yr,P,2019,11,female,,MA
Coordinator,50000,yr,2014,54000,yr,P,2019,5,female,white,BA
Manager,59000,yr,2008,73400,yr,P,2019,25,female,white,MA
Assistant Curator,41000,yr,,43000,yr,P,2019,,female,,
Academic,,,2018,39148,yr,C,2019,10,male,white,MA
Archivist,48000,yr,2015,51118,yr,P,2019,7,female,white,MA
Education,11.7,hr,2018,11.7,hr,H,2019,2,,,
Director,38000,yr,2011,55610.87,yr,H,2019,17,female,white,MA
Intern,14.62,hr,2016,16.14,hr,HP,2019,5,female,white,BA required MA preferred
Manager,48500,yr,2019,2019,yr,,2019,6,female,white,
Coordinator,58000,yr,2017,,,P,2018,20,,,MA
Academic,15000,yr,2018,,yr,,2019,11,female,,MA
Intern,0,yr,2014,0,yr,C,2014,,female,white,MA
Assistant Registrar,30000,yr,2013,35000,yr,P,2016,4,female,white,BA required MA preferred
Assistant Curator,53000,yr,2009,53000,yr,P,2009,15,female,,MA
Registrar,28800,yr,2016,35520,yr,P,2019,,male,,
Manager,60000,yr,2017,64000,yr,P,2019,10,female,poc,BA
Educator,20,hr,2015,20,hr,H Part Time,2016,8,female,white,BA required MA preferred
Assistant,23660,yr,2018,24133,yr,H,2019,2,female,,MA
Conservator,39000,yr,2018,39000,yr,P,2019,4,,,MA
Director,35000,yr,1998,43000,yr,P,2014,22,,,MA
Assistant,20.5,hr,2018,23.69,hr,H,2019,3,female,white,BA
Assistant Curator,52000,yr,2015,53330,yr,P,2017,7,female,,MA
other,50,hr,2009,50,hr,C,2019,,female,,MA required PhD preferred
Intern,2500,yr,,,,C,,,female,asian,
Manager,60000,yr,,76000,yr,P,2019,8,female,white,
Editorial,56000,yr,,56000,yr,C,2019,,female,,
Assistant Curator,47374,yr,,49998,yr,P,2019,,female,,
other,45000,yr,,47000,yr,C,2016,,male,,
Assistant Curator,37000,yr,2010,42000,yr,C,2012,,,,
Assistant,,,,40795,yr,P,,,,,
Assistant Educator,38 000,yr,,39000,yr,P,2019,,,,
Technical,33000,yr,2007,37000,yr,C,2010,,female,white,
