role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
other,39000,yr,2011,49430,yr,HP,2019,15,female,white,BA
Registrar,22.5,hr,,,,P,,,,,
Assistant,21,hr,2017,23.5,hr,C,2019,2,,white,BA
Assistant Curator,30000,yr,2018,49000,yr,,2019,5,female,white,MA
Assistant Curator,40000,yr,2019,40000,yr,,2019,0,male,white,MA
Assistant,38400,yr,2017,50000,yr,HP,2019,3,female,,
Writer,,,,65000,yr,,2019,10,male,white,MA
Assistant,50000,yr,2017,60000,yr,P,2019,6,,,
Assistant,32000,yr,2018,38000,yr,P,2019,4,male,white,
Art Handler,50000,yr,2013,75000,yr,P,2019,20,,,
Designer,75000,yr,2018,77400,yr,P,2019,4,female,white,BA
Assistant,42000,yr,2018,42000,yr,P,2019,1,female,asian,BA
Education,18.15,hr,2018,18.15,hr,H,,,,,BA
Education,18.15,hr,2018,18.15,hr,H,,,,,BA
Manager,32000,yr,2015,52000,yr,P,2019,4,,,
Writer,,,,58500,yr,,2019,,,,
Communications,46583,yr,2018,46.583,yr,P,2019,4,other,white,BA
Gallery Assistant,18,hr,2016,18,hr,H,2017,6,female,white,BA
Admin,47250,yr,2017,50000,yr,P,2019,6,female,white,
Designer,45000,yr,2010,59000,yr,P,2019,9,female,white,BA
Assistant Curator,,,,59000,yr,P,2019,,,,
other,27000,yr,2013,69000,yr,P,2019,20,other,white,MA
Conservator,80000,yr,2013,90000,yr,P,2019,20,,,MA
Technical,50000,yr,2018,65000,yr,P,2019,2,,,MA
Director,105000,yr,2012,120000,yr,,2019,40,female,white,No degree
Assistant Curator,50000,yr,2017,60000,yr,P,2019,10,female,white,MA
Designer,,,,66000,yr,P,2018,5,,,BA
Communications,70000,yr,2016,83000,yr,H Full Time,2019,8,female,white,
Assistant,45000,yr,2018,,,P,,6,female,white,BA
Assistant Curator,49920,yr,2017,54985.84,yr,P,2019,5,female,white,BA
Education,60000,yr,2017,63000,yr,P,2019,7,female,white,No degree
Manager,35500,yr,2016,35500,yr,P,2016,8,female,white,MA
Registrar,12.5,hr,2016,18,hr,,,,,,
Assistant Curator,,,,30000,yr,P,2019,5,other,black,BA
Education,9,hr,2014,10,hr,H,2019,2,,,HS
Director,22000,yr,1998,26000,yr,P,2000,3,,white,BA
Manager,31200,yr,2012,35759.88,yr,HP,2019,9,female,white,BA
Assistant Registrar,40000,yr,2019,,,H,2019,5,female,white,BA required MA preferred
Registrar,45000,yr,2019,45000,yr,P,2019,3,female,latino,BA
Archivist,15,hr,2017,26,hr,C,2019,4,other,white,MLIS
Gallery Assistant,15,hr,2011,32,hr,P,2012,1,female,,BA
Registrar,62500,yr,2019,62500,yr,P,2019,10,female,,
Curator,50000,yr,,50000,yr,C,2019,12,female,poc,PhD
Visitor Experience,,,,12,hr,H,2019,4,,,
Manager,47500,yr,2016,55000,yr,P,2019,6,female,white,MA
Manager,47500,yr,2015,50000,yr,,2019,17,female,,MA
Registrar,24,hr,2018,24,hr,H,2019,2,female,white,
Archivist,52000,yr,2018,52000,yr,P,2019,5,female,white,MLIS
Designer,40000,yr,2019,40000,yr,,2019,1,,,
Communications,40000,yr,2019,40000,yr,P,2019,3,,,BA
Director,70000,yr,2019,,,P,2019,12,,,MA
Assistant,30000,yr,2015,40000,yr,P,2019,4,female,white,
Director,80000,yr,,,,P,2016,,,,
Manager,37500,yr,2014,39000,yr,P,2019,10,female,white,No degree
Manager,37000,yr,2016,46000,yr,P,2019,7,female,white,BA
Curator,28000,yr,2014,37000,yr,H,2019,10,female,white,MA
Visitor Experience,12.5,hr,2017,13.77,hr,H,2019,2,female,latino,
Communications,,,,60000,yr,P,2019,10,female,white,BA required MA preferred
Coordinator,36000,yr,2017,38600,yr,P,2019,5,female,white,BA required MA preferred
Director,25200,yr,2019,25200,yr,C,2019,2,female,white,BA
Director,20,hr,2017,21,hr,H,2019,12,female,white,MA
Visitor Experience,12,hr,2018,12,hr,H,2019,2,female,white,No degree
Assistant,6.95,hr,,6.95,hr,H,2007,1,female,white,
Director,56275,yr,,57682,yr,P,,,,,MA
Manager,65000,yr,2016,73000,yr,P,2019,11,male,white,BA
Communications,41000,yr,2016,49000,yr,P,2019,9,female,,BA required MA preferred
Manager,51000,yr,2019,,,P,2019,1,female,white,MA
Assistant Director,30000,yr,2014,47000,yr,P,2017,6,female,white,BA
Director,37000,yr,2017,37000,yr,H,2019,8,female,white,BA
Photographer,36000,yr,2018,38000,yr,P,,7,other,,BA
Manager,,,,,,H,2019,6,female,white,
Manager,32000,yr,2017,39220,yr,P,2019,4,female,white,
Intern,2400,yr,2019,,yr,unpaid,2019,1,,white,BA
Curator,40000,yr,2015,52000,yr,,2019,5,female,white,MA
Communications,50000,yr,2017,52000,yr,P,2019,5,female,white,BA
Assistant Curator,10,hr,2019,10,hr,C,2019,15,female,white,
Coordinator,40000,yr,2011,35000,yr,P,2019,12,female,mixed,MA
Director,100000,yr,2019,100000,yr,P,2019,17,male,,MA
Assistant Director,28000,yr,2011,49000,yr,P,2019,15,female,white,MA
Admin,12,hr,2017,12,hr,H,2019,3,,,
Photographer,28000,yr,2018,28000,yr,P,2019,6,female,white,MA
Designer,37000,yr,2015,40000,yr,H,2019,15,female,poc,
Curator,32880,yr,2017,38850,yr,HP,2019,7,female,white,No degree
Curator,90,hr,2006,140,hr,H,2019,16,female,,MA
Assistant,60000,yr,2017,65000,yr,H,2019,3,,,
Archivist,18,hr,2018,18,hr,HC,2018,6,female,white,BA
Registrar,42000,yr,2017,43500,yr,P,2019,5,other,white,BA
Registrar,60000,yr,2011,75432,yr,,2019,10,female,white,MA
Manager,43000,yr,2014,57000,yr,P,2018,16,male,white,BA
Curator,44900,yr,2019,44900,yr,H,2019,4,female,poc,No degree
Director,42500,yr,2007,54950,yr,P,2019,20,male,white,MA
Director,65000,yr,2019,65000,yr,P,2019,16,female,white,MA
Coordinator,16,hr,2013,16.87,hr,H,2019,6,female,,MA
Director,18000,yr,2019,18000,yr,H,2019,6,female,white,BA
Conservator,34500,yr,2016,35535,yr,HP,2019,10,male,white,MA
Manager,50000,yr,2017,51500,yr,P,2019,5,female,white,BA
Coordinator,33000,yr,2014,44000,yr,HP,2019,7,female,white,BA required MA preferred
Manager,68000,yr,2018,68000,yr,P,2019,2,female,white,BA required MA preferred
Director,38000,yr,2019,38000,yr,P,2019,0,female,white,BA
Manager,,,,50000,yr,P,2019,2,female,white,
Coordinator,17,hr,2015,19,hr,H,2019,4,female,white,BA
Manager,51000,yr,2018,52200,yr,P,2019,7,female,white,BA
Director,80000,yr,2016,90000,yr,P,2019,20,male,white,PhD
Director,68000,yr,2019,68000,yr,P,2019,10,,,MA
Curator,32000,yr,2019,32000,yr,P,2019,2,female,white,MA
Educator,20,hr,2016,,yr,H,2017,4,female,white,BA
Writer,70000,yr,2018,70000,yr,P,2019,10,female,white,MA
Manager,36750,yr,2015,39500,yr,HP,2019,16,,,BA
Intern,20,hr,2019,20,hr,HC,2019,2,male,white,BA
Communications,65000,yr,2018,67000,yr,P,2019,5,female,mixed,
Visitor Experience,31000,yr,2018,35000,yr,P,2019,2,female,white,BA
Registrar,18,hr,2016,19.78,hr,H,2019,4,male,white,BA
Coordinator,21850,yr,2018,21850,yr,,2019,5,female,white,MA
Curator,25000,yr,1990,102600,yr,P,2019,29,,,
Academic,50000,yr,,,,C,2019,,female,,PhD
Coordinator,46000,yr,2019,46000,yr,HP,2019,1,female,white,
Curator,15000,yr,2011,15000,yr,C,2019,,female,white,BA
other,60000,yr,,82000,yr,P,2018,,female,white,
Technical,41330,yr,2015,51718,yr,P,2019,12,female,white,MLIS
Education,72000,yr,2015,83326,yr,P,2019,9,female,,
Director,90000,yr,2018,90000,yr,P,2019,15,female,,
Manager,40000,yr,2019,40000,yr,P,2019,6,female,,
Manager,12,hr,2015,15,hr,P,2015,2,female,,
Librarian,64000,yr,2016,75000,yr,P,2019,12,female,,MLIS
Admin,14,hr,2018,15.5,hr,H,2019,5,female,white,MA
Coordinator,48000,yr,2017,54000,yr,,2019,4,female,white,
Assistant Curator,27000,yr,2012,40000,yr,P,2019,7,female,white,MA
Assistant Curator,30000,yr,2017,35000,yr,P,2019,3,female,white,BA required MA preferred
Manager,26000,yr,2013,17.14,hr,HP,2019,6,female,,
Gallery Assistant,15,hr,2018,15,hr,P,2019,,female,white,BA
Assistant Director,15,hr,2006,26.4,hr,HP,2019,13,female,white,BA
Editor,52000,yr,2001,,yr,,2018,17,,,MA
Assistant,35000,yr,2018,35000,yr,P,2019,1,female,white,
Archivist,40000,yr,2015,65000,yr,P,2019,,female,white,BA
Gallery Assistant,15,hr,2017,20,hr,H,2018,,female,poc,
Archivist,65000,yr,2018,65000,yr,P,2019,5,female,white,MLIS
Archivist,60000,yr,2018,60000,yr,P,2019,4,,,
Assistant,45000,yr,2017,52000,yr,P,2019,5,female,white,BA
Assistant Director,18,hr,2017,25,hr,H,2019,4,female,white,
Assistant Curator,12,hr,2013,28,hr,HP,2018,5,female,white,BA
Writer,52000,yr,2018,57000,yr,C,2019,3,,,BA
Manager,65000,yr,2015,72000,yr,P,2019,25,female,,MA
Manager,38000,yr,2014,54000,yr,P,2019,7,,,BA
Director,10000,yr,,10000,yr,C,2019,5,female,white,MA
Registrar,41000,yr,2016,43074.6,yr,P,2019,6,female,white,BA
Assistant Director,17,hr,2014,47000,yr,P,2019,3,,,
Assistant Director,17,hr,2014,47000,yr,P,2019,3,,,
Visitor Experience,39000,yr,2019,39000,yr,P,2019,2,,,
Curator,28000,yr,2014,40000,yr,P,2019,8,male,white,MA
Coordinator,48500,yr,2019,,,P,2019,10,male,white,BA required MA preferred
Manager,68000,yr,2015,70040,yr,P,2016,5,female,white,BA
Director,65000,yr,2016,68500,yr,P,2019,12,male,black,BA
Manager,30000,yr,2015,40000,yr,P,2019,5,female,white,BA
Curator,52000,yr,2015,60000,yr,,2019,10,female,white,MA
Coordinator,40000,yr,2017,42000,yr,,,5,female,white,
Coordinator,36000,yr,2014,42000,yr,P,2019,16,female,white,BA required MA preferred
Director,30000,yr,2018,30000,yr,P,2019,3,male,white,BA required MA preferred
Director,38000,yr,2013,60000,yr,P,2019,11,female,white,MA
Director,32000,yr,2017,32000,yr,P,2019,10,female,white,BA
Archivist,15,yr,2016,17,hr,P Full Time,2019,5,female,white,MA
Manager,50000,yr,2018,,,P,2019,15,male,,MA
other,39000,yr,2017,411375,yr,C,2017,8,male,white,BA required MA preferred
Manager,42000,yr,2014,54590,yr,P,2019,7,female,white,MA
other,38000,yr,2018,,,P,,3,female,white,
Coordinator,31400,yr,2018,36400,yr,H,2019,6,female,white,BA required MA preferred
Assistant Curator,9,hr,2007,25,hr,HP,2019,14,female,,MA
Manager,45000,yr,2018,46350,yr,P,2019,13,,,BA required MA preferred
Education,25000,yr,2013,48 000,yr,,2019,12,female,white,MA
Director,56000,yr,,60000,yr,P Full Time,2019,12,female,,MA
Manager,39500,yr,2015,42000,yr,P,2018,5,,,BA required MA preferred
Manager,40000,yr,2018,40000,yr,P,2019,15,female,white,MA
Conservator,58000,yr,2018,58000,yr,P,2019,3,female,white,MA
Assistant Director,43000,yr,2019,43000,yr,P,2019,5,male,white,MA
Editor,34099,yr,2013,50000,yr,P,2019,12,female,white,MA
Curator,20000,yr,2016,25000,yr,H,2019,8,female,white,MA
Manager,32000,yr,2015,35000,yr,H,2019,4,female,white,BA
Coordinator,37000,yr,2017,40789,yr,,2019,11,female,white,BA
Archivist,36000,yr,2013,42960,yr,P,2019,8,female,white,BA
Curator,25350,yr,2017,30914,yr,H,2019,2,female,white,MA
Assistant,14,hr,,,,,2019,2,,,MA
Director,37000,yr,2019,37000,yr,P,2019,10,female,white,BA required MA preferred
Registrar,36000,yr,2017,38000,yr,P Full Time,2019,5,,,BA required MA preferred
Director,50000,yr,2017,54000,yr,,2019,8,female,,MA
Communications,,,2003,90000,yr,P,2019,15,female,white,MA
Director,55000,yr,2018,55000,yr,P,2019,13,female,white,MA
Assistant Curator,40000,yr,2018,40000,yr,P,,1,female,white,BA
Manager,65000,yr,2018,70000,yr,P,2019,4,,,
Coordinator,45000,yr,2015,48000,yr,P,2018,0,,,
Writer,38000,yr,2012,45000,yr,P,2014,1,female,white,BA
Manager,48000,yr,2015,,,P,2015,4,female,white,BA
Assistant,16.5,hr,2019,16.5,hr,P,2019,5,,,BA
Curator,32000,yr,2013,50000,yr,P,2019,8,,,
Curator,41000,yr,2018,2019,yr,P,,5,female,white,BA
Coordinator,38000,yr,2019,,,P,2019,2,other,white,BA
