role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary 1,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Coordinator,33000.0,yr,2014.0,44000.0,yr,"H,P",2019.0,7.0,female,white,BA required MA preferred
Manager,68000.0,yr,2018.0,68000.0,yr,P,2019.0,2.0,female,white,BA required MA preferred
Director,38000.0,yr,2019.0,38000.0,yr,P,2019.0,0.0,female,white,BA
Manager,,,N,50000.0,yr,P,2019.0,2.0,female,white,N
Coordinator,17.0,hr,2015.0,19.0,hr,H,2019.0,4.0,female,white,BA
Manager,51000.0,yr,2018.0,52200.0,yr,P,2019.0,7.0,female,white,BA
Director,80000.0,yr,2016.0,90000.0,yr,P,2019.0,20.0,male,white,PhD
Director,68000.0,yr,2019.0,68000.0,yr,P,2019.0,10.0,n/a,N,MA
Curator,32000.0,yr,2019.0,32000.0,yr,P,2019.0,2.0,female,white,MA
Educator,20.0,hr,2016.0,N,yr,H,2017.0,4.0,female,white,BA
Writer,70000.0,yr,2018.0,70000.0,yr,P,2019.0,10.0,female,white,MA
Manager,36750.0,yr,2015.0,39500.0,yr,"H,P",2019.0,16.0,n/a,N,BA
Intern,20.0,hr,2019.0,20.0,hr,"H,C",2019.0,2.0,male,white,BA
Communications,65000.0,yr,2018.0,67000.0,yr,P,2019.0,5.0,female,mixed,N
Visitor Experience,31000.0,yr,2018.0,35000.0,yr,P,2019.0,2.0,female,white,BA
Registrar,18.0,hr,2016.0,19.78,hr,H,2019.0,4,male,white,BA
Coordinator,21850.0,yr,2018.0,21850.0,yr,n/a,2019.0,5.0,female,white,MA
Curator,25000.0,yr,1990.0,102600.0,yr,P,2019.0,29.0,n/a,N,N
Academic,50000.0,yr,N,,N,C,2019.0,,female,N,PhD
Coordinator,46000.0,yr,2019.0,46000.0,yr,"H,P",2019.0,1.0,female,white,N
Curator,15000.0,yr,2011.0,15000.0,yr,C Part Time,2019.0,,female,white,BA
other,60000.0,yr,N,82000.0,yr,P,2018.0,,female,white,N
